Uniprot,RF_mcnc,RF_mclcnc,RF_all,SVM_mcnc,SVM_mclcnc,SVM_all
Q14289,0.0016705604918788562,0.0018685414531419246,0.0006760160942946355,0.13890723653405174,0.43192240386363256,0.2971362518488121
P20618,0.003122209260015922,0.0019027246569373148,0.0009237196034834775,-0.05806566402102844,-0.11607499745795034,0.14479448594131528
P42575,0.00030823588946403267,0.0008065133396927081,0.0005044466894218761,-0.02454259300815809,0.12120547548774292,0.14655688712881254
P36888,0.0010189644197738787,0.000351183338112346,0.0004959577084822328,0.11332060104250455,-0.025710102491247888,-0.03303779301410514
P20142,0.00014582509425541996,0.00014645948347440427,0.0001756872585514586,0.055864653471211584,0.08122658072794238,0.14889930603418466
Q16236,0.001147979771916508,0.0008061848124405393,0.0008268971981767743,-0.013874005594623285,-0.1845099104253468,-0.07817671685306804
P35610,0.0006468054402206782,0.00029082406967828297,0.0005497941449949958,-0.10236459737064536,-0.2021732707690876,-0.18128055161861356
P30559,0.0006182635545295133,0.0006267257436395171,0.0009127997579529284,-0.03048876882034837,-0.0735350818882176,-0.15454534842021372
P25786,0.0001234991669657951,0.00045993446325078827,0.0003476822266637739,0.0832983760075234,-0.003869656643197187,0.014378259403900806
O94760,0.00031254280719978744,0.00031728374472032536,0.0005916620231332302,0.0701491188533053,0.05668727042151376,0.009543812617101244
P25789,0.0002831408929393656,0.00012940515315610604,0.000243094672150159,0.0832983760075234,-0.003869656643197187,0.014378259403900806
P01042,0.00048476789903323164,0.00024938602179763573,0.00020936038004220519,0.05972595076106285,0.08337150571933354,0.06221343152576235
Q9Y6K9,0.00034680041627730383,0.00030247726381496293,0.0003227241515868826,-0.04859168099297871,-0.01849442352398556,0.03435196689440734
P34903,0.0006725586668177848,0.0009707129902300713,0.0008464694753879285,-0.3567476077367937,-0.12179719009219127,-0.1875541462028547
P19438,0.0010284653312524195,0.0013072746874390779,0.0005794377406486378,0.16123153205588947,0.1599408051991275,0.21338129028274289
Q99884,0.0001707438849008414,0.0002544243605642795,0.0005514770494595967,0.03031414001038576,-0.08607264396068108,-0.06537682118065229
Q9UIQ6,0.0005453649181328985,0.000471173647910592,0.000532924619258491,-0.18572966574071714,-0.016310761876631746,0.13419838355772995
Q7RTX1,0.00023759337800087032,0.0004786311146987789,0.0001717842184077283,0.004961907235115177,0.08835246563307686,0.22474367124404548
Q8WXR4,0.00019439080335654441,0.0003179393638037396,0.00037290581604742677,-0.0435071591332666,-0.036728470857253975,-0.18131504422679634
Q96Q15,2.336020552996783e-05,0.00017913719537673742,6.0800422115434844e-05,0.023989733969694487,0.014929241934778875,0.03464498439795118
P78527,0.00021736046389982949,0.0006372258305650716,0.0005464288785979067,-0.10655849796506756,-0.023133518671487288,-0.06632118322194835
O75936,0.0006443757091010712,0.0001999621035436572,0.000517602047886976,-0.11457624093148787,-0.2588921104039489,-0.09813308920282487
Q9ULD8,0.0007592431613589052,0.0006311621572830606,0.0004303845191655656,0.07134459248840573,0.08665848346123424,0.16138180079086462
O00255,0.0004062392180608242,0.0009771462217412967,0.00048045835496687725,-0.0398190594755027,-0.04966151263988894,-0.04541025161021184
Q9Y4D2,0.00024043332985821504,0.000553033921346916,0.0004424251540935868,-0.01153700591478726,-0.2699184088998528,-0.014015176006879855
P09038,0.0009495212136237584,0.001119795164844349,0.004286431610832273,-0.14859366151818104,-0.0790259738070784,0.025259828580178945
P01160,0.0003191717759413639,0.0001855312906330645,0.0002571160486699246,-0.0056300849848923105,-0.007011094143614776,0.0010056347412504278
P0DMS9,0.0014530688102181314,0.0007302554783663143,0.0006931892511130536,0.23500369660389744,0.1771950330509443,0.14405542163396756
P21462,0.00048564539202747167,0.0005919329298189371,0.0003521212732693269,-0.2399403188866061,-0.13616280224552882,-0.23076168160849875
Q99572,0.0001570344466605436,0.00037958137092462964,0.0003638333246501048,-0.012527638275858257,0.1082081448723288,0.01790567695228923
P37088,2.3767082590612007e-05,0.0001588968885034626,0.0003408872483766052,-0.020090898389556716,0.17401693138816002,0.3103769861113024
P17252,0.0005804841012322143,0.0005197054310325149,0.0009846724280353596,0.062085569908695085,0.1038953908625169,-0.08510200443638816
Q08209,0.0002829028799551254,1.2632991469239681e-05,0.00020345257365388139,0.011470773458800982,0.03902708004803579,0.034671563140034764
P46531,8.808369559695176e-05,3.530583777783284e-05,0.0005273394506243941,0.08871041817965275,0.07899576936387327,0.14169604896971125
P42345,0.00039677787189426757,0.00030580418776687346,0.0005790205023204227,0.2852653855212777,0.26519399855734666,0.3246021040119962
Q9NY91,0.00014439518374320125,0.0002770717450877022,0.0010724857128864937,0.021663229103395312,-0.0017302352929441653,-0.25812862378924195
P21554,0.00011492745943810816,0.0003883204283734129,0.0004244219413384416,-0.12394333972700085,0.024968331895661645,-0.005588622563870216
P35346,0.00029816374727289563,0.0007152393642155128,0.0006284568202513102,-0.056902842706124376,0.01593903271068815,0.1295098164847775
