"","Symbol","Uniprot","entrez"
"252","TNNI3","P19429",7137
"253","TNFRSF1A","P19438",7132
"254","CSNK2A2","P19784",1459
"255","AOC1","P19801",26
"256","TYMP","P19971",1890
"257","PGC","P20142",5225
"258","CCNA2","P20248",890
"259","ALOX5AP","P20292",241
"260","PSMB1","P20618",5689
"261","ATP4A","P20648",495
"262","MAOA","P21397",4128
"263","TACR2","P21452",6865
"264","S1PR1","P21453",1901
"265","FPR1","P21462",2357
"266","CNR1","P21554",1268
"267","DRD1","P21728",1812
"268","TBXA2R","P21731",6915
"269","ACHE","P22303",43
"270","ENPP1","P22413",5167
"271","FGFR4","P22455",2264
"272","FGFR3","P22607",2261
"273","PRKACG","P22612",5568
"274","MMP8","P22894",4317
"275","CES1","P23141",1066
"276","PTGS1","P23219",5742
"277","GLRA1","P23415",2741
"278","RPS6KB1","P23443",6198
"279","JAK1","P23458",3716
"280","PTPRB","P23467",5787
"281","CMA1","P23946",1215
"282","SLC6A2","P23975",6530
"283","NR2F2","P24468",7026
"284","TBXAS1","P24557",6916
"285","ACP1","P24666",52
"286","CCNC","P24863",892
"287","CCNE1","P24864",898
"288","CDK2","P24941",1017
"289","HRH2","P25021",3274
"290","CXCR2","P25025",3579
"291","EDNRA","P25101",1909
"292","ACKR3","P25106",57007
"293","BRD2","P25440",6046
"294","CTSS","P25774",1520
"295","PSMA1","P25786",5682
"296","PSMA2","P25787",5683
"297","PSMA3","P25788",5684
"298","PSMA4","P25789",5685
"299","NPY1R","P25929",4886
"300","NFKBIA","P25963",4792
"301","ITGA3","P26006",3675
"302","S100A4","P26447",6275
"303","MARK3","P27448",4140
"304","RPA1","P27694",6117
"305","PDE4A","P27815",5141
"306","PIK3R1","P27986",5295
"307","PSMB9","P28065",5698
"308","PSMB6","P28072",5694
"309","PSMB5","P28074",5693
"310","HTR1D","P28221",3352
"311","HTR1B","P28222",3351
"312","HTR2A","P28223",3356
"313","HTR2C","P28335",3358
"314","HTR1E","P28566",3354
"315","HSD11B1","P28845",3290
"316","CD38","P28907",952
"317","PCSK6","P29122",5046
"318","EPHA2","P29317",1969
"319","PTPN6","P29350",5777
"320","TYK2","P29597",7297
"321","CCND3","P30281",896
"322","CDC25B","P30305",994
"323","BDKRB2","P30411",624
"324","NMT1","P30419",4836
"325","TSPO","P30536",706
"326","ADORA1","P30542",134
"327","OXTR","P30559",5021
"328","CHRNB4","P30926",1143
"329","GNRHR","P30968",2798
"330","NTSR1","P30989",4923
"331","SSTR4","P31391",6754
"332","SLC5A2","P31639",6524
