,split,balanced_accuracy,recall,precision,ROC_AUC
22,<itertools.product object at 0x7f1a9d680318>,0.6689655172413793,0.8045977011494253,0.7692307692307693,0.6689655172413793
23,<itertools.product object at 0x7f1a9d680318>,0.7122605363984674,0.735632183908046,0.8205128205128205,0.7122605363984674
24,<itertools.product object at 0x7f1a9d680318>,0.7403100775193798,0.813953488372093,0.8235294117647058,0.7403100775193799
25,<itertools.product object at 0x7f1a9d680318>,0.7204968944099379,0.5714285714285714,0.7692307692307693,0.7204968944099378
26,<itertools.product object at 0x7f1a9d680318>,0.6940993788819876,0.7142857142857143,0.625,0.6940993788819877
27,<itertools.product object at 0x7f1a9d680318>,0.8111111111111111,0.8,0.7777777777777778,0.8111111111111111
28,<itertools.product object at 0x7f1a9d680318>,0.6206349206349207,0.4857142857142857,0.6071428571428571,0.6206349206349207
29,<itertools.product object at 0x7f1a9d680318>,0.7307189542483661,0.7058823529411765,0.6857142857142857,0.7307189542483661
30,<itertools.product object at 0x7f1a9d680318>,0.7090077410274455,0.7241379310344828,0.6774193548387096,0.7090077410274455
31,<itertools.product object at 0x7f1a9d680318>,0.7147766323024054,0.6666666666666666,0.7160493827160493,0.7147766323024054
32,<itertools.product object at 0x7f1a9d680318>,0.6705770825927242,0.6091954022988506,0.6708860759493671,0.6705770825927243
33,<itertools.product object at 0x7f1a9d680318>,0.7108069676501956,0.6896551724137931,0.6976744186046512,0.7108069676501956
34,<itertools.product object at 0x7f1a9d680318>,0.7290817549748262,0.7674418604651163,0.6875,0.7290817549748262
35,<itertools.product object at 0x7f1a9d680318>,0.6375562218890555,0.8620689655172413,0.7352941176470589,0.6375562218890554
36,<itertools.product object at 0x7f1a9d680318>,0.7193903048475763,0.8735632183908046,0.7916666666666666,0.7193903048475764
37,<itertools.product object at 0x7f1a9d680318>,0.6632183908045977,0.7931034482758621,0.7666666666666667,0.6632183908045977
38,<itertools.product object at 0x7f1a9d680318>,0.6758620689655173,0.8850574712643678,0.7623762376237624,0.6758620689655173
39,<itertools.product object at 0x7f1a9d680318>,0.7370801033591732,0.9186046511627907,0.797979797979798,0.7370801033591731
40,<itertools.product object at 0x7f1a9d680318>,0.7565217391304347,0.6,0.84,0.7565217391304349
41,<itertools.product object at 0x7f1a9d680318>,0.7450310559006211,0.6857142857142857,0.7272727272727273,0.7450310559006211
42,<itertools.product object at 0x7f1a9d680318>,0.7825396825396825,0.7428571428571429,0.7647058823529411,0.7825396825396825
43,<itertools.product object at 0x7f1a9d680318>,0.6793650793650794,0.5142857142857142,0.72,0.6793650793650794
44,<itertools.product object at 0x7f1a9d680318>,0.8156862745098039,0.7647058823529411,0.8125,0.815686274509804
45,<itertools.product object at 0x7f1a9d680318>,0.6962233169129721,0.6781609195402298,0.6781609195402298,0.6962233169129721
46,<itertools.product object at 0x7f1a9d680318>,0.639056760279654,0.5977011494252874,0.6265060240963856,0.639056760279654
47,<itertools.product object at 0x7f1a9d680318>,0.63846427301813,0.5862068965517241,0.6296296296296297,0.6384642730181301
