Uniprot,RF_mcnc,RF_mclcnc,RF_all,SVM_mcnc,SVM_mclcnc,SVM_all
P40306,0.00027734883524141175,0.00013586439084637404,0.0002459101922993281,0.03159042925129639,0.04713339335021474,0.08179934014844886
Q14145,0.00048609988173643347,0.00043813691534843853,0.0005322742667779989,0.00904469877497749,0.012728129214256822,0.0033949173160444813
P27986,0.00034062452735651315,0.00021320555610086826,0.000352218067537718,0.11516475550722162,-0.0018898581404721937,0.16125997130824699
Q14416,1.1727912431586984e-05,0.0005033299749157313,0.000582725310339472,0.03774332030940226,0.06251993289100855,0.24244688158774258
P04054,0.0014841087221753688,0.0005000305096134673,0.0006388070603822456,0.6763681946534383,0.322927368388676,0.6046211593519202
Q9UGJ0,3.518835718127627e-05,0.000267880258852475,0.0003916612008220497,-0.03152592079038382,-0.08128025962900351,-0.2223630615316779
Q9Y572,5.908530676889186e-05,0.0001147076632506633,0.00015819492634963,0.008416485534015094,0.03496579267729329,0.01974966638609546
P28072,0.00016375997033982805,0.0002523607411159646,0.0002159687242580632,0.0832983760075234,-0.003869656643197187,0.019713151455358815
O94782,0.0005869928871325893,0.00041904424214983716,0.0005706077930245374,0.03883858437474855,0.03775865774161703,0.04719908680079385
P36896,0.00035066701799136635,0.0008046049536571887,0.0011538823651585134,0.15517867067156788,0.05851408167022362,0.24006053967792654
P00749,0.00020044008617121093,0.0002627036379200723,0.0004538103079534846,8.677368727827688e-05,0.11549915346337798,0.07532108599914746
P23467,0.000986024570845184,0.00047257758343403173,0.0007019433733933949,-0.01568420086830819,-0.02605590372461556,-0.02889547641517526
Q9UNI1,0.0006052419597985265,0.00047338901918598023,0.0006821635482041164,-0.16369944915644274,-0.06046825001195704,-0.2713884226069735
Q9UHC3,0.00029466582554455166,0.0003515475094995105,0.0005212496213473309,0.01894922523821005,0.1476253357390178,0.12678122518323925
P08709,0.00018687056765747837,0.0004046151711077055,0.00032452437190800534,-0.01147001883355659,-0.03126165305487689,-0.060894485287312144
P10636,0.0003417152310263358,0.00040000870549996426,0.0006329018564136483,0.02241024129093485,0.10712169595739945,-0.05129150686307338
Q14289,0.0016705604918788562,0.0018685414531419246,0.0008643126948395669,0.13890723653405176,0.43192240386363256,0.2907056161423489
P20618,0.003122209260015922,0.001902724656937315,0.00089398389263682,-0.05806566402102844,-0.11607499745795036,0.1585395094922829
P42575,0.00030823588946403267,0.0008065133396927081,0.0005569765819223279,-0.024542593008158094,0.12120547548774291,0.1606097423053578
P36888,0.0010189644197738787,0.000351183338112346,0.00038518335040428446,0.11332060104250455,-0.025710102491247888,-0.02914040452184763
P20142,0.00014582509425541996,0.00014645948347440427,0.00021671211978033236,0.055864653471211584,0.08122658072794238,0.1505880433875756
Q16236,0.001147979771916508,0.0008061848124405393,0.0008429413210488976,-0.013874005594623283,-0.1845099104253468,-0.050292870886910875
P35610,0.0006468054402206782,0.00029082406967828297,0.0005812044214614511,-0.10236459737064535,-0.2021732707690876,-0.18074866422987887
P30559,0.0006182635545295133,0.0006267257436395171,0.0007313403633175315,-0.03048876882034837,-0.0735350818882176,-0.15797126302226094
P25786,0.0001234991669657951,0.00045993446325078827,0.00021834109479663876,0.0832983760075234,-0.003869656643197187,0.019713151455358815
O94760,0.00031254280719978744,0.00031728374472032536,0.00045775481869341633,0.0701491188533053,0.05668727042151376,0.017579286993629366
P25789,0.0002831408929393656,0.00012940515315610604,0.00019284455632080557,0.0832983760075234,-0.003869656643197187,0.019713151455358815
P01042,0.00048476789903323164,0.00024938602179763573,0.0002725090393269671,0.059725950761062845,0.08337150571933354,0.059875561694314954
Q9Y6K9,0.0003468004162773038,0.00030247726381496293,0.00030689762448839414,-0.04859168099297871,-0.01849442352398556,0.042820646059442954
P34903,0.0006725586668177847,0.0009707129902300712,0.0006677849970787833,-0.3567476077367937,-0.12179719009219128,-0.17228338619881423
P19438,0.0010284653312524197,0.001307274687439078,0.0005635485778997849,0.16123153205588947,0.1599408051991275,0.22303069736195896
Q99884,0.0001707438849008414,0.0002544243605642795,0.0005391471296234069,0.030314140010385758,-0.08607264396068107,-0.05876762208496852
Q9UIQ6,0.0005453649181328985,0.000471173647910592,0.0004971012450674748,-0.18572966574071714,-0.016310761876631746,0.13321990617759397
Q7RTX1,0.0002375933780008703,0.0004786311146987789,0.000409895679760178,0.004961907235115177,0.08835246563307686,0.22673225308083503
Q8WXR4,0.00019439080335654436,0.0003179393638037396,0.0004396312560427976,-0.0435071591332666,-0.036728470857253975,-0.19282602133208412
Q96Q15,2.336020552996783e-05,0.0001791371953767374,8.134339630916848e-05,0.023989733969694487,0.014929241934778877,0.03518650740529248
P78527,0.0002173604638998295,0.0006372258305650716,0.0007556401480421928,-0.10655849796506756,-0.023133518671487288,-0.08010365606083061
O75936,0.0006443757091010712,0.0001999621035436572,0.0005737732556165118,-0.11457624093148788,-0.2588921104039489,-0.1124354195156579
Q9ULD8,0.0007592431613589052,0.0006311621572830605,0.0003791392966329678,0.07134459248840573,0.08665848346123424,0.16957430891047132
